"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"22","Cherwell","15/00723/F",NA,NA,"The Pits
The Moors
Kidlington","development of a 70 bedroom care home, together with associated car parking, access arrangements and landscaping.","Mr Julian Burgess","AKA Planning","application permitted","committee","05/11/2015","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/15/00723/F","approved","The Pits The Moors Kidlington",NA,NA,NA,51.8287444,-1.2911801,"ok",51.8287444,-1.2911801,c(-1.2911801, 51.8287444)
"23","Cherwell","13/01649/F",NA,NA,"Land Incorporating Former Holly House
Bath Road
Banbury","demolition of existing buildings and erection of new care home, together with alterations to access, parking provision, landscaping and associated works","Green Pastures Christian Nursing Home","Kirkby And Diamond","application permitted","committee","16/05/2014","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/13/01649/F","approved","Land Incorporating Former Holly House Bath Road Banbury",NA,NA,NA,52.060994,-1.3450097,"ok",52.060994,-1.3450097,c(-1.3450097, 52.060994)
"24","Cherwell","13/01643/F",NA,NA,"Land Between The Leys And
North Bar Place
Banbury","demolition of an existing single storey commercial building and the redevelopment of the site to provide a 73 bedroom care home together with associated landscaping and parking provision with access from north bar place","Care Uk Community Partnerships","AKA Planning","application permitted","committee","22/08/2014","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/13/01643/F","approved","Land Between The Leys And North Bar Place Banbury",NA,NA,NA,52.0624534,-1.3403821,"ok",52.0624534,-1.3403821,c(-1.3403821, 52.0624534)
"25","Cherwell","12/01465/F",NA,NA,"Former Winners Bargain Centres
Victoria Road
Bicester
Oxfordshire
OX26 6QD","demolition of existing structures and construction of 60 bed care home (class c2) together with ancillary accommodation, car parking facilities and landscaping","Montpelier Estates","Framptons","application refused","committee","01/02/2013","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/12/01465/F","refused","Former Winners Bargain Centres Victoria Road Bicester Oxfordshire OX26 6QD","OX26 6QD",51.899152,-1.151129,NA,NA,NA,51.899152,-1.151129,c(-1.151129, 51.899152)
"26","Cherwell","11/00589/F",NA,NA,"95 Bicester Road
Kidlington
Oxfordshire
OX5 2LD","change of use from residential c3 to residential care home c2, three extensions with associated car and cycle parking","Choice Care Group","CSJ Planning Consultants","application permitted","delegated","07/07/2011","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/11/00589/F","approved","95 Bicester Road Kidlington Oxfordshire OX5 2LD","OX5 2LD",51.817803,-1.276946,NA,NA,NA,51.817803,-1.276946,c(-1.276946, 51.817803)
"27","Cherwell","10/01302/F",NA,NA,"Land South Of Bernard Close Berkley Homes Site
Cassington Road
Yarnton
Oxfordshire","erection of extra care home","Berkeley Homes (Oxford & Chiltern) Ltd","s's Address","application permitted","delegated","24/11/2011","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/10/01302/F","approved","Land South Of Bernard Close Berkley Homes Site Cassington Road Yarnton Oxfordshire",NA,NA,NA,51.8048293,-1.3114346,"ok",51.8048293,-1.3114346,c(-1.3114346, 51.8048293)
"28","Cherwell","09/01748/F",NA,NA,"Manor House Nursing Home
Merton
Bicester
Oxfordshire
OX25 2NF","new build extension to provide 50 bedrooms for specialised residential care.  proposals will function as 5 no. separate units of 10 bedrooms connected to the existing care home","Healthcare Properties (UK)","CRGP Ltd","application withdrawn","committee","20/04/2010","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/09/01748/F","withdrawn","Manor House Nursing Home Merton Bicester Oxfordshire OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"29","Cherwell","09/01012/F",NA,NA,"Lavender House
48 Bloxham Road
Banbury
Oxfordshire
OX16 9JR","conversion of care home from shared house to 3 units (in accordance with additional plan no p3, information received 09/09/09, amended plan a102 and information received 22/09/09)","HFT","Mr Howard Edgar
5/6 Brook Business Park
Folly Brook Road
Emersons Green
Bristol
Avon
BS16 7FL","application permitted","delegated","30/09/2009","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/09/01012/F","approved","Lavender House 48 Bloxham Road Banbury Oxfordshire OX16 9JR","OX16 9JR",52.054818,-1.344739,NA,NA,NA,52.054818,-1.344739,c(-1.344739, 52.054818)
"30","Cherwell","09/00399/F",NA,NA,"The Ridings
Calder Close
Banbury
Oxfordshire","change of use of existing daycare centre and offices to form seven new care home flats. internal alterations, removal of external doors. new windows and removal of existing canopy (as amended by drawing numbers 7206-001-203 and 7206-001-204 received 08/04/09)","Anchor Homes","Rider Lovett Bucknall","application permitted","delegated","18/05/2009","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/09/00399/F","approved","The Ridings Calder Close Banbury Oxfordshire",NA,NA,NA,52.0678554,-1.3212528,"ok",52.0678554,-1.3212528,c(-1.3212528, 52.0678554)
"31","Cherwell","08/02066/F",NA,NA,"Formerley Neithrop County Primary Infants School
Prescott Close
Banbury
Oxfordshire
OX16 0RD","demolition of existing disused school and construction of extra care block of 40 no. flats and 60 bed care home with associated gardens and 42 car parking spaces.","Oxfordshire Care Partnership","Carless And Adams Partnership","application permitted","committee","29/12/2008","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/08/02066/F","approved","Formerley Neithrop County Primary Infants School Prescott Close Banbury Oxfordshire OX16 0RD","OX16 0RD",52.063043,-1.357367,NA,NA,NA,52.063043,-1.357367,c(-1.357367, 52.063043)
